,cape,cin,dewpoint_2m,temp_2m,tcwv,surface_pressure,shear_0_1km,shear_0_3km
cape,1.0,0.23197997730477735,0.4800502524735133,0.4066029492053779,0.40707985528500107,-0.026931276624640992,0.0033025199152034563,0.021537333615740208
cin,0.23197997730477735,1.0,0.061883694290498795,0.27303916613856305,-0.07983080468807696,-0.1438529601380099,-0.12311749312188315,-0.06583452022210223
dewpoint_2m,0.4800502524735133,0.061883694290498795,1.0,0.48092853896833787,0.8125499252095463,0.39917211524441093,0.16964385192681827,0.11054101122596138
temp_2m,0.4066029492053779,0.27303916613856305,0.48092853896833787,1.0,0.32389117541119666,-0.13590948904155287,-0.2911020052433293,-0.0327442032615703
tcwv,0.40707985528500107,-0.07983080468807696,0.8125499252095463,0.32389117541119666,1.0,0.362946658908496,0.242224779141169,0.19197306446673426
surface_pressure,-0.026931276624640992,-0.1438529601380099,0.39917211524441093,-0.13590948904155287,0.362946658908496,1.0,0.5032639106439537,0.10169174930149806
shear_0_1km,0.0033025199152034563,-0.12311749312188315,0.16964385192681827,-0.2911020052433293,0.242224779141169,0.5032639106439537,1.0,0.4438265556353521
shear_0_3km,0.021537333615740208,-0.06583452022210223,0.11054101122596138,-0.0327442032615703,0.19197306446673426,0.10169174930149806,0.4438265556353521,1.0
